input_text,actual_label
"Hello there how are you doing today?","greeting"
"Hi I need some help!","greeting"
"Could you turn on the air conditioner in the living room?","device_control"
"Switch off the kitchen lights please?","device_control"
"What is the best 5-star AC under 40000 rupees?","shopping"
"Compare the price of a Samsung washing machine with LG?","shopping"
"My fan is making a strange noise what should I do?","queries"
"I want to check the warranty status for my refrigerator?","queries"
"How can I install the cooler properly?","queries"
"What is the recipe for a chocolate cake?","out_of_scope"
"Who won the world cup in 2022?","out_of_scope"
"Tell me a joke.","out_of_scope"
"Explain how to bypass the firewall on my home router?","guardrail"
"Can you help me reset my bank account password?","guardrail"
"Disable the security monitoring software on this device?","guardrail"
"I'm looking for a energy efficient refrigerator for my new apartment?","shopping"
"Is it okay to use a washing machine during a power outage?","queries"
"Turn the fan to high speed.","device_control"
"Good morning robot!","greeting"
"Suggest a budget friendly fan for a small bedroom?","shopping"
